Option,column name,column reference,total users,Plain JavaScript,ES6,CoffeeScript,TypeScript,Elm,ClojureScript,No Framework,React,Angular,Angular 2,Ember,Vue,Backbone,Redux,MobX,Relay,Custom REST API,Firebase,GraphQL,Apollo,Falcor,Horizon,Meteor,FeathersJS,DoneJS,MERN,MEAN,Mocha,Jasmine,Enzyme,Jest,Cucumber,Ava,Plain CSS,SASS/SCSS,LESS,CSS Modules,Aphrodite,Webpack,Grunt,Gulp,Browserify,Bower,Native Apps,React Native,Cordova,PhoneGap,NativeScript
column number,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
results column name,,,,B,C,D,E,F,G,I,J,K,L,M,N,O,R,S,T,W,X,Y,Z,AA,AB,AE,AF,AG,AH,AI,AL,AM,AN,AO,AP,AQ,AT,AU,AV,AW,AX,BA,BB,BC,BD,BE,BH,BI,BJ,BK,BL
results column reference,,,,results!B:B,results!C:C,results!D:D,results!E:E,results!F:F,results!G:G,results!I:I,results!J:J,results!K:K,results!L:L,results!M:M,results!N:N,results!O:O,results!R:R,results!S:S,results!T:T,results!W:W,results!X:X,results!Y:Y,results!Z:Z,results!AA:AA,results!AB:AB,results!AE:AE,results!AF:AF,results!AG:AG,results!AH:AH,results!AI:AI,results!AL:AL,results!AM:AM,results!AN:AN,results!AO:AO,results!AP:AP,results!AQ:AQ,results!AT:AT,results!AU:AU,results!AV:AV,results!AW:AW,results!AX:AX,results!BA:BA,results!BB:BB,results!BC:BC,results!BD:BD,results!BE:BE,results!BH:BH,results!BI:BI,results!BJ:BJ,results!BK:BK,results!BL:BL
total users,,,,7364,6886,540,1937,325,184,4404,4605,2902,1240,633,835,1149,3184,223,142,7393,1650,465,118,68,96,1019,84,25,395,2004,4314,3729,998,436,872,367,6858,6818,3457,1986,107,4658,2574,5220,2805,2955,2758,1198,1868,1411,186
Plain JavaScript,B,results!B:B,7364,100,76,6,20,3,2,53,49,32,13,7,9,14,33,2,1,82,18,5,1,1,1,11,1,0,4,23,47,41,10,4,9,4,78,74,38,21,1,50,30,58,32,33,30,12,21,16,2
ES6,C,results!C:C,6886,81,100,6,24,4,2,47,62,30,15,8,10,13,45,3,2,84,20,6,2,1,1,12,1,0,5,24,56,46,14,6,10,5,73,77,38,24,1,63,26,59,34,29,30,16,20,15,2
CoffeeScript,D,results!D:D,540,77,71,100,22,6,4,47,52,33,14,12,12,19,32,3,2,83,18,7,2,2,2,17,1,1,6,23,52,45,9,5,19,5,69,83,49,23,2,46,36,59,37,47,36,15,22,17,3
TypeScript,E,results!E:E,1937,76,86,6,100,6,3,42,46,49,45,6,9,10,35,4,2,86,21,6,2,1,2,10,1,0,4,33,52,54,9,4,10,5,71,76,42,20,1,57,28,65,30,35,34,13,27,19,6
Elm,F,results!F:F,325,69,87,10,34,100,13,45,75,16,10,9,12,9,61,6,5,83,26,13,2,2,3,11,2,1,8,11,66,51,21,12,14,14,70,74,37,32,4,72,14,45,34,18,37,24,14,9,1
ClojureScript,G,results!G:G,184,75,85,13,31,22,100,41,85,18,14,16,12,15,57,8,11,88,26,18,2,4,3,12,3,1,7,13,71,49,27,15,17,12,67,75,40,29,4,71,17,52,39,21,40,29,18,14,2
No Framework,I,results!I:I,4404,88,74,6,19,3,2,100,47,28,12,7,10,16,30,2,1,84,18,5,1,1,1,10,1,0,4,21,45,39,9,4,8,4,82,74,37,20,1,47,31,58,33,32,32,11,21,17,2
React,J,results!J:J,4605,79,92,6,19,5,3,45,100,24,11,7,8,13,64,5,3,84,22,9,2,1,1,13,1,0,8,21,63,46,21,9,11,6,72,78,38,29,2,77,23,57,37,24,32,24,17,13,2
Angular,K,results!K:K,2902,82,70,6,33,2,1,43,38,100,31,6,7,11,24,1,1,83,22,4,1,1,1,11,1,0,4,44,46,53,6,3,10,3,75,79,46,19,1,43,39,71,32,49,31,10,30,23,3
Angular 2,L,results!L:L,1240,79,83,6,71,3,2,41,43,73,100,8,7,12,32,3,2,83,27,6,2,2,2,14,1,1,5,45,48,59,6,4,10,4,74,81,46,23,1,54,35,73,33,42,36,13,34,24,8
Ember,M,results!M:M,633,82,88,10,18,5,5,47,52,28,15,100,14,23,37,3,3,84,33,7,1,2,2,16,2,2,5,23,62,49,12,8,19,5,75,88,42,28,2,51,37,63,43,50,38,18,24,18,3
Vue,N,results!N:N,835,81,83,8,20,5,3,51,46,24,11,10,100,13,33,4,2,83,25,6,2,2,3,16,3,2,6,22,44,36,8,5,8,5,72,82,39,24,2,63,23,69,44,34,33,14,23,17,2
Backbone,O,results!O:O,1149,88,76,9,16,3,2,60,53,28,13,13,9,100,32,2,2,87,21,6,1,1,1,12,1,1,5,27,59,53,10,5,15,4,78,80,47,22,1,52,43,66,42,38,35,12,24,21,3
Redux,R,results!R:R,3184,77,97,5,21,6,3,42,92,22,13,7,9,12,100,4,4,86,24,10,3,1,2,11,1,0,9,21,69,49,27,11,11,8,72,79,37,33,3,86,20,55,35,19,31,26,16,12,2
MobX,S,results!S:S,223,74,96,7,34,9,6,38,93,19,14,10,16,9,63,100,9,83,30,18,8,4,5,17,7,3,13,21,68,42,40,17,13,17,73,74,39,44,12,89,16,51,32,14,35,39,23,16,4
Relay,T,results!T:T,142,73,96,9,26,11,14,38,94,24,18,13,11,13,83,14,100,80,27,84,15,9,8,17,5,3,14,20,82,52,44,33,19,18,63,73,36,54,10,93,22,46,29,15,44,49,21,18,5
Custom REST API,W,results!W:W,7393,82,78,6,22,4,2,50,52,33,14,7,9,14,37,3,2,100,19,5,1,1,1,10,1,0,5,24,51,44,12,5,10,4,75,75,39,22,1,54,29,58,32,32,32,14,21,16,2
Firebase,X,results!X:X,1650,82,85,6,25,5,3,47,62,40,20,13,13,15,46,4,2,85,100,9,2,2,3,17,2,1,8,33,56,49,15,7,12,6,78,83,40,28,2,63,29,67,39,38,36,22,28,20,4
GraphQL,Y,results!Y:Y,465,74,95,8,25,9,7,44,87,23,16,9,11,14,69,9,26,77,32,100,22,6,6,24,4,1,12,25,74,51,34,19,17,12,68,74,38,43,7,80,23,52,34,22,39,43,25,19,5
